"OCC_CODE","cognitive_abilities","physical_abilities","psychomotor_abilities","sensory_abilities","assisting_and_caring","cramped_work_space","fine_arts","finger_dexterity","manual_dexterity","Negotiation","Originality","Persuasion","social_perceptiveness"
"47-2231",2.76118918918919,2.25222222222222,2.501,2.42833333333333,2.64,2.98,0.1,3,2.75,1.88,2.5,2.38,2.38
"47-3011",2.46232432432432,2.91666666666667,2.837,2.375,2.53,3.45,0.34,3,3,1.5,1.75,1.62,2.25
"47-3012",2.60686486486486,2.43111111111111,2.613,2.2925,2.28,3.66,0.37,2.88,2.88,2,2.38,2,2.25
"47-3013",2.50935135135135,2.47111111111111,2.5,2.04083333333333,2.48,4.06,0.01,3.12,3.75,1.12,2,1.25,2
"47-3014",1.97924324324324,2.57222222222222,2.241,2.16916666666667,2.13,2.2,0.1,2.88,2.88,1.75,1.88,1.75,2.25
"47-3015",2.48854054054054,2.39,2.451,1.8025,3.77,4.02,0,2.88,2.88,1.62,2,1.62,2.12
"47-3016",2.60610810810811,3.14,2.675,2.31166666666667,3.58,2.75,0.14,3,3.12,1.75,1.75,1.75,2.12
"47-4011",2.92313513513514,1.36,1.488,2.405,1.79,3.62,0.09,2.25,2,2.75,2.88,3,2.75
"47-4021",3.06989189189189,2.03,2.678,2.22166666666667,2.53,4,0.13,3.25,3.25,2.38,2.88,2.5,2.62
"47-4031",2.73302702702703,2.75,2.813,2.20833333333333,3.61,3.28,1.03,3,3.25,1.75,1.75,2,2.12
"47-4041",2.96178378378378,2.20777777777778,2.773,2.4875,3.25,3.28,0.96,2.88,3,2.75,2.75,2.75,2.75
"47-4051",2.92027027027027,2.36,3.087,2.61416666666667,4.6,2.74,0.48,3,3.12,2.12,2,2.38,2.62
"47-4061",2.7492972972973,2.62666666666667,3.212,2.61583333333333,2.93,2.94,0.35,2.88,3.12,1.75,2.12,1.88,2
"47-4071",2.63162162162162,2.51333333333333,2.962,2.625,1.79,3.01,0.01,3,3.12,2,2,2.38,2.62
"47-4091",2.63124324324324,2,2.737,2.38583333333333,3.03,1.85,0.55,2.75,3,2.62,2.75,2.75,2.75
"47-4099",2.94883783783784,2.30555555555556,2.499,2.44291666666667,2.55,3.78,0.08,3,2.81,2.63,2.75,2.815,2.63
"47-5011",2.81875675675676,2.82222222222222,3.466,2.8875,2.23,3.79,0.18,3.38,3.63,2.12,2,2,2.75
