,OCC_CODE,cognitive_abilities,physical_abilities,psychomotor_abilities,sensory_abilities,assisting_and_caring,cramped_work_space,fine_arts,finger_dexterity,manual_dexterity,Negotiation,Originality,Persuasion,social_perceptiveness,GP_pred_0,GP_pred_1,prob_class_new
741,53-4011,2.79891891891892,1.63777777777778,3.3760000000000003,3.11583333333333,2.84,3.47,0.0,3.0,3.0,1.75,2.0,1.75,2.62,0.17705116473894122,0.8229488352610588,1) High
742,53-4012,2.5614054054054103,1.8311111111111102,3.201,3.0225,2.15,2.85,0.05,2.75,3.38,2.12,2.12,2.12,2.62,0.17390690937247655,0.8260930906275235,1) High
743,53-4013,2.6945405405405403,2.1122222222222202,3.065,2.92916666666667,2.61,2.79,0.18,2.38,2.88,1.75,2.13,1.88,2.25,0.15788275508828065,0.8421172449117194,1) High
744,53-4021,2.6435135135135095,2.35,2.977,2.66916666666667,2.52,3.57,0.04,3.0,3.0,1.75,2.13,2.12,2.12,0.16291632082197793,0.8370836791780221,1) High
745,53-4031,2.70745945945946,1.86111111111111,2.7,2.885,2.79,2.8,0.57,2.75,2.62,2.12,2.75,3.0,3.0,0.578740271443337,0.42125972855666305,2) Medium
746,53-4041,2.53367567567568,1.68222222222222,3.228,3.0125,3.39,2.22,0.17,2.63,3.0,2.25,1.88,2.25,2.62,0.20395559931228036,0.7960444006877196,1) High
747,53-5011,2.82102702702703,2.6677777777777796,3.0860000000000003,3.3358333333333303,3.15,3.63,0.04,3.12,3.12,2.5,2.25,2.62,2.88,0.4150568760151714,0.5849431239848286,2) Medium
748,53-5021,3.1630810810810797,1.77296296296296,3.0246666666666697,3.35444444444444,3.24333333333333,2.92,0.11,2.9166666666666696,3.0,2.58666666666667,2.96,2.7466666666666697,3.0,0.6630873609288983,0.3369126390711017,2) Medium
749,53-5022,2.83091891891892,2.11333333333333,3.178,3.15916666666667,3.98,2.75,0.0,3.25,3.25,2.38,2.5,2.25,2.88,0.4879924681397583,0.5120075318602417,2) Medium
750,53-5031,3.06308108108108,2.1388888888888897,2.864,2.59583333333333,3.04,3.91,0.0,3.25,3.25,2.0,3.12,2.12,2.75,0.5458985704014907,0.4541014295985093,2) Medium
