,OCC_CODE,cognitive_abilities,physical_abilities,psychomotor_abilities,sensory_abilities,assisting_and_caring,cramped_work_space,fine_arts,finger_dexterity,manual_dexterity,Negotiation,Originality,Persuasion,social_perceptiveness,GP_pred_0,GP_pred_1,prob_class_new
171,21-1094,2.8852972972973,1.23666666666667,2.176,2.1775,4.41,1.96,0.32,3.0,2.75,3.0,3.0,3.75,4.25,0.9291304645777245,0.07086953542227548,3) Low
172,21-2011,2.86632432432432,0.23555555555555605,0.561,1.9683333333333302,4.9,1.17,2.36,1.25,0.5,3.88,3.75,4.38,5.38,0.9725529004533655,0.02744709954663449,3) Low
173,21-2021,2.87794594594595,0.23555555555555605,0.311,1.655,5.04,1.22,2.13,1.25,0.12,2.88,3.25,3.62,4.5,0.9180307764678446,0.08196922353215541,3) Low
174,23-1011,2.88432432432432,0.111111111111111,0.426,1.7716666666666698,2.11,1.3,0.46,2.0,0.38,4.25,3.75,4.5,4.0,0.8845177807679647,0.11548221923203528,3) Low
175,23-1012,2.16940540540541,0.0277777777777778,0.23800000000000002,1.6458333333333302,1.4,1.05,0.0,2.0,0.0,2.62,2.88,3.5,3.5,0.16387982168157578,0.8361201783184242,1) High
176,23-1021,2.7911351351351406,0.165555555555556,0.48700000000000004,1.76,2.19,1.17,0.26,2.0,0.5,3.62,3.12,3.62,3.88,0.5697155405479748,0.4302844594520252,2) Medium
177,23-1022,2.43340540540541,0.0277777777777778,0.175,1.5516666666666699,3.04,1.04,0.25,1.75,0.0,5.0,3.5,4.62,3.75,0.8311528533745332,0.16884714662546685,3) Low
178,23-1023,2.87659459459459,0.293333333333333,0.25,1.5733333333333301,2.9,1.38,0.45,1.38,0.0,4.12,3.12,4.12,4.12,0.8006927753629043,0.19930722463709571,3) Low
179,23-2011,2.2979459459459504,0.166666666666667,0.401,1.5616666666666699,2.26,1.35,0.0,1.75,0.5,2.5,2.88,2.88,3.12,0.18034118586103887,0.8196588141389611,1) High
180,23-2091,2.02810810810811,0.0422222222222222,1.501,1.4591666666666698,0.8,1.38,0.04,2.88,2.0,1.5,0.88,1.25,2.25,0.01772446288248375,0.9822755371175163,1) High
181,23-2093,2.24335135135135,0.19444444444444395,0.41200000000000003,1.345,1.17,1.31,0.0,1.38,0.75,2.25,1.88,2.38,2.75,0.03882521905086378,0.9611747809491362,1) High
182,25-1011,2.74427027027027,0.18,0.175,1.5316666666666698,2.68,1.01,0.26,1.0,0.0,2.75,3.38,2.88,3.38,0.48097579795697243,0.5190242020430276,2) Medium
183,25-1021,2.99335135135135,0.19444444444444395,0.337,1.6358333333333301,2.93,1.13,0.94,1.62,0.38,2.88,3.62,3.0,3.75,0.7706288584984122,0.22937114150158777,3) Low
184,25-1022,2.52243243243243,0.15333333333333302,0.124,1.4075,3.05,1.14,0.31,0.62,0.0,2.62,3.5,2.75,3.25,0.5659002605233496,0.43409973947665037,2) Medium
185,25-1031,3.17059459459459,0.20888888888888898,0.36200000000000004,1.8541666666666698,2.76,1.13,4.46,1.5,0.0,3.0,4.12,3.0,3.62,0.8411753179160542,0.15882468208394585,3) Low
186,25-1032,3.0535675675675695,0.111111111111111,0.273,1.9475,2.09,1.24,0.8,1.25,0.0,3.0,3.88,2.88,3.5,0.663074002854728,0.33692599714527205,2) Medium
187,25-1041,3.1911891891891897,0.8211111111111109,1.024,1.6975,3.57,1.34,1.0,2.0,1.12,2.62,3.75,2.88,3.38,0.855896226861546,0.14410377313845402,3) Low
188,25-1042,3.09005405405405,0.18,0.486,1.7616666666666698,2.61,1.25,0.66,1.5,1.0,2.88,3.75,2.88,3.38,0.7643311009979357,0.23566889900206434,3) Low
189,25-1043,3.10362162162162,0.0688888888888889,0.3,1.75,2.54,1.36,0.35,1.5,0.0,2.88,3.75,3.25,3.5,0.6605737412469352,0.33942625875306476,2) Medium
190,25-1051,3.0050810810810797,0.19444444444444395,0.175,1.77,3.1,1.37,1.16,0.88,0.0,3.0,3.88,3.0,3.62,0.8316361663563612,0.16836383364363883,3) Low
191,25-1052,3.01508108108108,0.19444444444444395,0.25,1.7816666666666698,3.02,1.27,0.53,1.5,0.5,2.38,3.5,3.0,3.38,0.6527190742701805,0.3472809257298195,2) Medium
192,25-1053,3.0578378378378397,0.124444444444444,0.124,1.635,3.36,1.48,1.1,0.62,0.0,2.88,3.5,3.0,3.62,0.7864067476795071,0.21359325232049287,3) Low
193,25-1054,2.99248648648649,0.20777777777777803,0.713,1.7925,3.6,1.3,0.23,1.88,1.25,2.5,3.5,3.0,3.12,0.7207502513468853,0.2792497486531147,3) Low
194,25-1061,3.07524324324324,0.15222222222222198,0.361,1.6058333333333301,3.18,1.25,2.49,1.0,0.62,3.0,3.88,3.0,3.75,0.9106555445579261,0.08934445544207392,3) Low
195,25-1062,2.6752432432432403,0.124444444444444,0.075,1.5941666666666698,2.73,1.1,2.36,0.75,0.0,2.38,3.75,3.12,3.5,0.809419886903811,0.19058011309618905,3) Low
196,25-1063,2.59313513513514,0.138888888888889,0.2,1.7608333333333301,2.48,1.02,0.22,1.5,0.0,2.12,3.0,2.5,3.5,0.24088100271194435,0.7591189972880557,1) High
197,25-1064,2.79702702702703,0.19444444444444395,0.075,1.5841666666666698,3.38,1.26,1.05,0.75,0.0,3.0,3.62,3.12,3.25,0.7703657296866595,0.2296342703133405,3) Low
198,25-1065,2.64918918918919,0.15222222222222198,0.037000000000000005,1.4575,2.74,1.16,0.78,0.25,0.0,2.88,3.25,3.12,3.5,0.6523437106229153,0.3476562893770847,2) Medium
199,25-1066,2.9152972972973,0.166666666666667,0.124,1.5208333333333302,4.75,1.1,1.34,0.62,0.0,2.5,3.38,2.88,4.5,0.8538728176127961,0.1461271823872039,3) Low
200,25-1067,2.7801621621621604,0.15222222222222198,0.1,1.4591666666666698,2.63,1.01,1.41,0.62,0.0,2.75,3.12,2.88,3.88,0.659192253106994,0.34080774689300597,2) Medium
201,25-1071,3.0375675675675695,0.652222222222222,0.773,1.7283333333333302,3.82,1.27,1.29,1.62,1.0,3.0,3.75,3.12,3.62,0.9255254764414076,0.07447452355859241,3) Low
202,25-1072,3.21194594594595,1.23444444444444,1.364,1.9175,5.39,1.93,0.69,2.5,2.25,3.0,3.62,3.12,4.0,0.9665605670694504,0.03343943293054963,3) Low
203,25-1081,2.78324324324324,0.20777777777777803,0.36200000000000004,1.5933333333333302,3.52,1.38,0.69,1.12,0.75,2.88,3.25,2.88,3.62,0.7666947255638661,0.2333052744361339,3) Low
204,25-1082,2.77335135135135,0.19555555555555604,0.126,1.5516666666666699,2.31,1.02,1.35,0.88,0.0,2.62,3.0,2.75,3.62,0.5120132462562843,0.4879867537437157,2) Medium
205,25-1111,2.73967567567568,0.111111111111111,0.07400000000000001,1.4375,3.19,1.58,0.74,0.62,0.0,2.75,3.0,3.0,3.75,0.6420940262721615,0.3579059737278385,2) Medium
206,25-1112,2.67081081081081,0.15333333333333302,0.15,1.5641666666666698,2.96,1.04,0.62,0.88,0.0,3.12,3.75,3.75,3.12,0.7690037059762744,0.23099629402372557,3) Low
207,25-1113,2.80827027027027,0.0833333333333333,0.125,1.6041666666666698,3.24,1.25,0.31,1.25,0.0,3.0,3.75,3.25,4.0,0.8010783412654519,0.19892165873454815,3) Low
208,25-1121,2.9242162162162204,0.485555555555556,1.0979999999999999,1.9483333333333301,3.52,1.4,6.51,2.12,2.12,2.75,4.0,3.0,3.75,0.8455600996171597,0.15443990038284028,3) Low
209,25-1122,2.7828108108108105,0.18,0.099,1.6025,3.15,1.16,3.53,0.5,0.12,3.0,3.12,3.0,3.62,0.7963314850575216,0.2036685149424784,3) Low
210,25-1123,2.75302702702703,0.0977777777777778,0.025,1.5008333333333301,3.23,1.0,3.08,0.25,0.0,3.0,3.75,3.0,3.75,0.8575966182283992,0.14240338177160083,3) Low
211,25-1124,2.4350270270270298,0.19444444444444395,0.062,1.7191666666666698,2.98,1.03,2.68,0.62,0.0,2.75,3.25,2.75,3.62,0.7503425497855574,0.24965745021444263,3) Low
212,25-1125,2.7037837837837797,0.138888888888889,0.012,1.4366666666666699,3.27,1.02,2.25,0.0,0.0,2.88,3.12,3.0,3.88,0.7857832994234286,0.21421670057657138,3) Low
213,25-1126,2.5770810810810802,0.18,0.087,1.4475,3.75,1.0,1.72,0.62,0.0,2.5,3.25,3.12,3.38,0.7608544615691244,0.2391455384308756,3) Low
214,25-1191,2.4018378378378396,0.20888888888888898,0.41200000000000003,1.6033333333333302,2.99,1.58,1.78,1.12,0.75,2.25,3.25,2.62,3.12,0.7035243200705281,0.2964756799294719,3) Low
215,25-1192,2.7451891891891895,0.20777777777777803,0.237,1.6341666666666699,2.99,1.73,1.28,1.38,0.12,2.5,3.38,2.88,3.25,0.6553531399388248,0.3446468600611752,2) Medium
216,25-1193,2.95032432432432,0.515555555555556,0.17600000000000002,1.8033333333333301,3.91,1.52,1.22,0.38,0.12,3.0,3.12,3.12,3.88,0.8161014919130594,0.18389850808694064,3) Low
217,25-1194,3.0215135135135096,1.15222222222222,1.7630000000000001,1.9675,3.5,1.56,1.21,2.5,2.25,3.0,3.0,3.0,3.25,0.8088298595719152,0.19117014042808478,3) Low
218,25-2011,2.29562162162162,1.5833333333333302,1.037,1.6875,4.02,1.17,1.95,2.0,2.0,2.88,3.62,3.0,3.62,0.9478723973136312,0.052127602686368846,3) Low
219,25-2012,2.68637837837838,1.46,0.812,1.6866666666666699,3.79,1.52,2.27,1.88,1.12,3.12,3.38,3.12,4.0,0.9265556926160343,0.07344430738396568,3) Low
220,25-2021,2.68497297297297,0.8355555555555559,0.537,1.8858333333333301,4.01,1.43,1.6,2.0,0.38,3.0,3.88,3.0,4.0,0.9160794652074173,0.08392053479258266,3) Low
221,25-2022,2.87264864864865,0.37555555555555603,0.212,1.7083333333333302,3.75,1.06,2.53,1.5,0.12,3.12,3.12,3.12,4.0,0.8268213082831153,0.17317869171688471,3) Low
222,25-2023,2.86335135135135,1.11111111111111,1.325,1.9466666666666699,3.24,1.19,1.47,1.75,1.75,2.75,3.38,3.0,3.88,0.8999909911850636,0.10000900881493635,3) Low
223,25-2031,2.7875675675675695,0.291111111111111,0.324,1.8208333333333302,3.82,1.24,2.18,1.62,0.38,2.88,3.75,3.12,3.88,0.9108225795940825,0.08917742040591747,3) Low
224,25-2032,3.16167567567568,1.20777777777778,1.7619999999999998,1.9475,4.24,1.86,1.67,2.75,2.5,3.25,3.62,3.75,3.75,0.9762398407807495,0.023760159219250454,3) Low
225,25-2051,2.60518918918919,1.4988888888888898,1.05,1.855,4.39,1.78,0.77,2.0,1.88,2.88,3.62,3.12,4.0,0.9604607957670623,0.039539204232937664,3) Low
226,25-2052,2.7271891891891897,1.2511111111111102,0.85,1.7508333333333301,4.7,1.24,1.11,0.25,1.25,3.38,3.62,3.25,4.25,0.9482449859224289,0.051755014077571104,3) Low
227,25-2053,2.80697297297297,0.45888888888888896,0.161,1.6883333333333301,5.01,1.43,0.97,1.12,0.12,3.12,3.88,3.25,4.0,0.9230927394844457,0.0769072605155543,3) Low
228,25-2054,2.93005405405405,0.903333333333333,0.401,1.9275,4.23,1.17,1.51,1.38,0.0,3.0,3.75,3.0,4.0,0.8866252082792698,0.11337479172073017,3) Low
229,25-2059,2.90405405405405,2.51333333333333,1.976,1.9391666666666698,4.78,2.13,1.72,2.88,2.88,3.0,3.38,3.5,4.25,0.9750968208048789,0.024903179195121083,3) Low
230,25-3011,2.40362162162162,0.19444444444444395,0.138,1.5416666666666698,3.27,1.32,0.89,1.38,0.0,3.12,3.12,3.0,3.75,0.6476520364609542,0.35234796353904585,2) Medium
231,25-3021,2.3152972972973,0.93,0.9129999999999999,1.5091666666666699,3.59,1.25,2.11,1.88,1.38,2.0,3.25,2.88,3.25,0.8121573197922771,0.18784268020772288,3) Low
232,25-3099,2.37535135135135,0.0133333333333333,0.47600000000000003,1.4675,3.12,1.27,0.72,1.88,0.88,2.88,3.38,3.25,3.38,0.7476855047601134,0.2523144952398866,3) Low
233,25-4011,2.79145945945946,1.00222222222222,0.787,1.6558333333333302,2.13,1.97,1.42,2.0,1.62,2.62,3.0,2.88,3.0,0.5744335139421537,0.4255664860578463,2) Medium
234,25-4012,3.03524324324324,0.873333333333333,0.8490000000000001,2.0008333333333304,2.58,1.5,5.0,2.12,1.88,3.38,4.12,3.62,3.38,0.8966876337287886,0.10331236627121143,3) Low
235,25-4013,2.6975135135135098,1.36,2.076,1.9566666666666699,1.8,2.21,4.23,3.5,3.12,2.5,3.12,2.5,3.0,0.6769027673378787,0.3230972326621213,2) Medium
236,25-4021,2.65556756756757,0.65,0.912,1.6991666666666698,2.75,1.62,1.45,2.5,1.88,3.0,3.0,3.0,3.5,0.7393733600370638,0.2606266399629362,3) Low
237,25-4031,2.22589189189189,1.38777777777778,1.1740000000000002,1.5516666666666699,2.3,1.45,1.23,2.38,2.12,1.5,2.12,2.0,2.88,0.1957822877656099,0.8042177122343901,1) High
238,25-9011,2.75562162162162,0.7088888888888891,1.474,2.02166666666667,1.96,1.95,2.67,2.88,2.12,1.88,3.25,2.25,2.88,0.5845806924763224,0.4154193075236776,2) Medium
239,25-9021,3.2294594594594597,0.4866666666666671,1.551,2.3758333333333304,3.31,1.68,0.62,1.38,1.12,3.62,4.12,3.75,4.0,0.9709934143585315,0.02900658564146852,3) Low
240,25-9031,2.8949459459459503,0.145555555555556,0.4,1.7179166666666699,2.76,1.05,1.235,1.81,0.565,3.44,3.815,3.44,3.75,0.8876415465440459,0.11235845345595408,3) Low
241,25-9041,2.01854054054054,1.07,0.7,1.5091666666666699,3.31,1.1,1.22,1.88,1.0,2.0,2.75,2.75,3.25,0.5068656680579675,0.4931343319420325,2) Medium
242,27-1011,2.96010810810811,0.0277777777777778,0.9890000000000001,1.90416666666667,1.64,1.86,5.03,2.38,2.0,3.5,4.38,3.62,3.12,0.8650295669976913,0.1349704330023087,3) Low
243,27-1012,2.49864864864865,1.5811111111111102,2.6010000000000004,1.7716666666666698,1.08,2.0,4.84,3.88,3.38,2.12,3.88,2.88,2.88,0.6998655974306871,0.3001344025693129,2) Medium
244,27-1013,2.28135135135135,1.22444444444444,2.237,1.98,1.32,1.01,4.3,3.25,3.62,1.75,4.62,2.0,2.75,0.7301300976646985,0.2698699023353015,3) Low
245,27-1014,2.5370270270270296,0.15222222222222198,1.4380000000000002,1.8941666666666699,1.96,1.05,3.46,2.62,2.25,3.0,4.0,3.0,2.88,0.8237145438145035,0.17628545618549651,3) Low
246,27-1021,2.86843243243243,0.20666666666666697,1.199,2.01,1.34,1.59,1.49,2.75,1.75,2.75,4.38,3.62,3.25,0.8608747142214952,0.1391252857785048,3) Low
247,27-1022,2.7311891891891897,0.461111111111111,1.19,1.7825,1.93,3.37,2.59,2.88,2.25,3.38,4.38,3.5,3.75,0.9348272880761215,0.06517271192387852,3) Low
248,27-1023,2.2641621621621604,1.2066666666666699,1.3980000000000001,1.7283333333333302,1.83,1.62,1.88,2.62,2.38,2.5,3.12,2.88,3.0,0.6170717789823925,0.3829282210176075,2) Medium
249,27-1024,2.52562162162162,0.111111111111111,0.9990000000000001,1.615,1.38,1.12,4.92,2.75,2.0,2.88,3.88,3.0,2.88,0.7505538317030869,0.24944616829691313,3) Low
250,27-1025,2.99924324324324,0.19444444444444395,0.248,1.8758333333333301,2.1,1.29,4.43,1.0,0.12,3.5,4.0,3.62,3.38,0.8454230118968553,0.15457698810314469,3) Low
251,27-1026,2.3122162162162203,2.29111111111111,1.8,1.8025,2.42,2.17,1.6,3.25,2.88,2.25,3.25,3.0,2.88,0.7007519661448214,0.2992480338551786,3) Low
252,27-1027,3.17027027027027,1.5566666666666698,2.201,2.36416666666667,2.43,2.26,5.96,3.12,2.88,3.0,4.12,3.38,3.25,0.8344884986738634,0.16551150132613657,3) Low
253,27-2011,2.24659459459459,1.6833333333333302,0.763,1.73,1.89,1.89,5.85,1.88,1.75,2.62,3.38,2.75,3.75,0.7772164354420283,0.22278356455797166,3) Low
254,27-2012,2.8202378378378397,0.27444444444444394,1.0398,2.0418333333333303,2.14,1.31,2.858,1.976,1.374,3.452,3.7760000000000002,3.424,3.65,0.8978093870508701,0.1021906129491299,3) Low
255,27-2021,2.89518918918919,3.5977777777777797,2.5869999999999997,2.24,3.0,1.62,0.71,3.0,3.25,2.38,3.0,2.5,3.0,0.6116050902379868,0.3883949097620132,2) Medium
256,27-2022,2.88491891891892,2.0711111111111102,1.015,2.0925,3.18,1.38,0.82,1.88,1.88,4.0,3.88,4.12,4.0,0.9762351823898143,0.023764817610185673,3) Low
257,27-2023,2.38010810810811,1.8333333333333302,1.2990000000000002,2.2291666666666696,2.33,1.58,0.3,2.0,0.5,2.75,2.12,2.38,2.62,0.046025703230952786,0.9539742967690472,1) High
258,27-2031,2.05718918918919,4.33333333333333,1.75,1.8116666666666699,2.02,2.15,5.8,2.0,2.12,2.12,3.38,2.62,3.0,0.7481773424094627,0.25182265759053735,3) Low
259,27-2032,2.8770810810810796,3.6,1.663,1.8641666666666699,3.0,1.67,6.33,2.0,2.0,2.88,4.25,3.0,3.75,0.856787975238035,0.14321202476196504,3) Low
260,27-2041,2.64883783783784,0.277777777777778,1.0005,2.1616666666666697,2.59,1.2,6.295,2.44,1.56,2.815,3.94,2.88,3.25,0.792079537774498,0.20792046222550198,3) Low
261,27-2042,2.31875675675676,1.2911111111111102,1.3995,1.9266666666666699,2.74,2.305,5.965,2.25,2.25,2.25,3.37,2.625,3.065,0.7756620228249176,0.22433797717508241,3) Low
262,27-3011,2.74972972972973,0.47111111111111104,1.2990000000000002,1.9591666666666698,2.14,1.08,3.05,1.75,1.75,2.88,3.62,2.88,3.75,0.8587543888720575,0.14124561112794254,3) Low
263,27-3012,2.22518918918919,0.5522222222222221,1.075,2.2508333333333304,1.87,1.46,3.19,2.12,1.75,2.0,2.75,2.62,3.0,0.5863934403474218,0.4136065596525782,2) Medium
264,27-3021,2.73016216216216,0.111111111111111,0.813,2.03166666666667,2.05,1.71,1.36,1.88,1.38,3.0,3.5,3.38,3.88,0.8571512762987368,0.14284872370126322,3) Low
265,27-3022,2.5969189189189197,0.15333333333333302,0.575,1.5216666666666698,1.5,1.82,1.64,1.88,1.12,3.0,3.75,3.12,4.0,0.8248426889061875,0.1751573110938125,3) Low
266,27-3031,2.77232432432432,0.0133333333333333,0.237,1.6566666666666698,2.71,1.29,1.96,2.0,0.12,3.38,3.75,3.62,4.12,0.8921784130059223,0.10782158699407773,3) Low
267,27-3041,2.61410810810811,0.19444444444444395,0.6759999999999999,1.7291666666666698,1.52,1.17,0.93,2.5,1.25,3.5,3.88,3.38,3.5,0.7521400740000672,0.24785992599993278,3) Low
268,27-3042,2.4304864864864903,0.0277777777777778,0.526,1.4175,1.66,1.02,0.23,1.88,1.0,2.38,3.0,2.88,2.75,0.16353769156705766,0.8364623084329423,1) High
269,27-3043,2.3213513513513497,0.124444444444444,0.6435,1.5204166666666699,0.94,1.11,2.52,2.12,0.81,2.69,4.25,3.25,3.25,0.7644467949511409,0.23555320504885913,3) Low
270,27-3091,2.57962162162162,0.542222222222222,0.574,2.08416666666667,4.25,1.65,1.52,2.25,0.62,2.0,2.88,2.25,3.5,0.6086935578607324,0.3913064421392676,2) Medium
271,27-4011,2.82632432432432,1.38888888888889,2.186,2.2075,2.4,1.93,4.26,3.12,3.12,2.5,2.88,2.5,3.0,0.7070405030275424,0.2929594969724576,3) Low
272,27-4012,2.8225405405405404,1.08222222222222,2.1630000000000003,2.385,2.62,2.29,0.19,3.0,2.38,2.12,3.0,2.38,3.0,0.3558556170710858,0.6441443829289142,1) High
273,27-4013,2.60535135135135,0.166666666666667,1.25,1.9791666666666698,1.79,1.78,0.05,3.38,2.38,2.38,2.5,2.25,2.88,0.08405178769385202,0.915948212306148,1) High
274,27-4014,2.8505405405405404,0.40222222222222204,2.15,2.09416666666667,2.28,2.32,4.28,3.12,2.88,3.0,3.38,3.0,3.0,0.7952235202621978,0.20477647973780222,3) Low
275,27-4021,2.68497297297297,1.12666666666667,2.352,2.26083333333333,2.08,2.04,4.58,3.0,3.0,2.88,3.75,2.88,3.12,0.8165309064851272,0.18346909351487284,3) Low
276,27-4031,2.6058918918918903,1.6811111111111101,2.511,2.5075,2.2,2.39,1.64,3.0,3.0,2.38,3.12,2.88,3.12,0.7106778968556,0.2893221031444,3) Low
277,27-4032,2.41756756756757,0.0277777777777778,1.025,1.7933333333333301,1.15,1.28,3.38,3.0,2.25,2.62,3.5,2.88,2.62,0.627122760567687,0.372877239432313,2) Medium
278,29-1011,3.05718918918919,1.9433333333333302,2.175,1.5933333333333302,5.61,1.04,0.35,3.0,3.0,2.5,3.12,3.25,3.88,0.9029211123040568,0.0970788876959432,3) Low
279,29-1021,3.3918378378378398,1.36,3.437,2.2725,5.53,3.36,0.68,4.75,4.62,3.12,3.88,3.88,3.75,0.9223744644692715,0.07762553553072848,3) Low
280,29-1022,3.4404324324324302,1.37444444444444,3.46,2.1241666666666696,5.97,2.28,0.5,5.12,5.25,2.75,3.75,3.25,3.88,0.8634646160385273,0.1365353839614727,3) Low
281,29-1023,3.0669189189189203,0.4866666666666671,2.464,1.8758333333333301,4.93,1.99,0.45,4.12,3.88,3.25,3.25,3.25,3.75,0.9001964797190567,0.0998035202809433,3) Low
282,29-1024,3.2907027027027,1.0688888888888899,2.5860000000000003,1.9158333333333302,5.67,1.93,2.04,4.12,3.88,2.88,3.0,3.0,3.75,0.8940788590980446,0.10592114090195537,3) Low
283,29-1031,3.0615135135135096,0.18,0.237,1.7716666666666698,4.64,1.3,0.04,2.12,0.25,3.88,3.88,4.0,4.38,0.9295107983230082,0.0704892016769918,3) Low
284,29-1041,3.06,0.332222222222222,2.4730000000000003,2.05083333333333,4.68,1.78,0.13,4.25,3.25,2.75,3.0,3.38,3.75,0.8110156120200145,0.1889843879799855,3) Low
285,29-1051,3.0132972972973002,0.8888888888888891,1.325,1.8641666666666699,4.66,1.46,0.0,3.0,2.5,3.0,3.25,3.12,3.75,0.8745132592739537,0.12548674072604626,3) Low
286,29-1061,3.3004324324324306,1.36111111111111,2.537,2.10333333333333,6.33,2.91,0.11,3.75,3.12,2.88,3.0,3.38,3.75,0.8912747242940213,0.10872527570597867,3) Low
287,29-1062,2.9264864864864903,0.138888888888889,1.063,1.9683333333333302,5.58,1.3,0.24,2.75,2.5,3.0,3.38,3.5,4.25,0.9456630820814098,0.05433691791859019,3) Low
288,29-1063,3.20940540540541,0.37555555555555603,1.1,1.875,6.06,1.35,0.24,3.0,2.0,3.0,3.5,3.5,4.12,0.9279594621590377,0.07204053784096232,3) Low
289,29-1064,3.22589189189189,1.23444444444444,1.95,2.04083333333333,5.92,1.86,1.04,3.62,3.88,3.12,3.25,3.25,4.0,0.9399524547440024,0.06004754525599765,3) Low
290,29-1065,2.9278918918918904,0.18,1.001,1.8533333333333302,5.45,1.26,0.45,2.88,1.88,2.88,3.38,3.25,4.0,0.9163117054122267,0.08368829458777327,3) Low
291,29-1066,2.9984324324324305,0.584444444444444,0.525,1.6775,5.84,1.22,0.35,2.0,0.0,3.88,3.62,4.0,5.38,0.9204906568589877,0.07950934314101232,3) Low
292,29-1067,3.51135135135135,1.5,3.3489999999999998,2.23,6.55,2.01,0.5,4.75,6.38,2.75,4.25,3.62,4.62,0.8649463051115163,0.13505369488848373,3) Low
293,29-1069,3.2494954954954998,0.720185185185185,1.6656666666666697,2.0589583333333303,5.70833333333333,1.6725,0.4216666666666671,3.15583333333333,2.19916666666667,3.0433333333333303,3.6475,3.57333333333333,4.22833333333333,0.9563059506615446,0.04369404933845544,3) Low
294,29-1071,3.05624324324324,1.6033333333333302,2.189,2.0570833333333303,6.12,2.275,0.345,3.315,2.88,3.0,2.87,3.13,4.0,0.9020620420196792,0.09793795798032079,3) Low
295,29-1081,3.16837837837838,0.38888888888888895,2.086,1.9491666666666698,6.33,2.22,0.55,3.12,3.12,3.12,3.5,3.38,4.0,0.9560089671711012,0.043991032828898824,3) Low
296,29-1122,2.86064864864865,1.61166666666667,1.4635,1.9316666666666698,4.85,2.205,0.725,2.685,1.88,3.06,3.69,3.125,3.875,0.9598198568496628,0.040180143150337244,3) Low
297,29-1123,2.88437837837838,2.02888888888889,2.075,1.7391666666666699,5.26,2.38,0.62,3.0,3.12,2.88,3.38,3.25,4.0,0.9634806781116367,0.036519321888363265,3) Low
298,29-1124,3.1742162162162204,1.58444444444444,2.7760000000000002,2.28,5.79,2.72,0.16,3.25,3.0,2.5,2.62,2.75,3.62,0.8360848781969707,0.16391512180302925,3) Low
299,29-1125,2.8412972972973,1.3503703703703702,1.645,1.95138888888889,5.4666666666666694,1.8433333333333302,4.22,2.91333333333333,2.29,3.2066666666666697,3.83666666666667,3.5033333333333303,4.37666666666667,0.9498037962667922,0.05019620373320777,3) Low
300,29-1126,3.0812972972973003,1.5566666666666698,2.613,2.23916666666667,5.95,3.23,0.11,3.12,2.88,2.88,3.0,2.88,3.75,0.900116266765508,0.09988373323449196,3) Low
301,29-1127,2.69545945945946,0.582222222222222,0.475,2.2825,4.49,1.8,0.39,2.12,0.38,2.88,4.0,3.5,4.12,0.9272251120347619,0.07277488796523812,3) Low
302,29-1128,3.0595675675675698,1.94555555555556,1.788,1.8233333333333301,4.82,1.71,0.82,2.25,2.0,3.0,3.62,3.75,4.12,0.9768295413177839,0.023170458682216122,3) Low
303,29-1131,3.1510810810810796,1.5,2.6,1.99,5.6,2.87,0.47,4.0,3.62,2.88,3.12,3.0,3.88,0.905246463397475,0.09475353660252495,3) Low
304,29-1141,3.14704864864865,1.69822222222222,1.82,2.0235,6.144,2.23,0.39799999999999996,2.8760000000000003,2.024,3.2239999999999998,3.2,3.3960000000000004,4.376,0.9381348896507689,0.061865110349231145,3) Low
305,29-1151,3.39854054054054,1.4311111111111101,2.463,2.0833333333333304,6.84,3.0,0.32,3.25,3.0,3.0,3.12,3.0,3.88,0.9089938336250043,0.0910061663749957,3) Low
306,29-1161,3.13102702702703,1.51444444444444,1.587,1.9783333333333302,6.14,2.78,0.32,3.0,3.0,2.62,3.0,3.0,4.38,0.9272614238146843,0.07273857618531565,3) Low
307,29-1171,3.23751351351351,1.6811111111111101,2.125,2.15666666666667,6.4,1.83,0.7,3.38,3.12,3.12,3.25,3.62,4.5,0.9467716109352295,0.053228389064770454,3) Low
308,29-1181,2.95989189189189,0.346666666666667,1.936,2.2291666666666696,4.53,1.9,0.27,4.12,2.62,2.75,3.25,3.25,4.25,0.8574653013050693,0.14253469869493074,3) Low
309,29-1199,2.74005405405405,0.57037037037037,1.307,1.78444444444444,5.24,1.46333333333333,0.243333333333333,3.4166666666666696,2.33,2.4966666666666697,3.12666666666667,3.1666666666666696,4.12666666666667,0.8678071718038609,0.1321928281961391,3) Low
310,29-2011,2.7088243243243197,0.7327777777777779,2.296,1.96375,2.78,1.655,0.0825,3.7825,2.9975,2.1875,2.4675,2.5,2.9375,0.20109494050154808,0.7989050594984519,1) High
311,29-2012,2.8080000000000003,1.4166666666666698,2.424,1.875,3.33,2.35,0.0,3.12,3.0,2.12,2.88,2.25,2.88,0.44344207328646235,0.5565579267135377,2) Medium
312,29-2021,2.73308108108108,1.41555555555556,2.4130000000000003,1.875,5.2,3.5,0.12,3.88,3.38,2.12,2.38,3.0,3.0,0.712488662844919,0.28751133715508104,3) Low
313,29-2031,2.78827027027027,1.5566666666666698,2.4859999999999998,1.7908333333333302,5.58,2.73,0.21,3.12,2.88,2.5,2.62,2.25,3.25,0.7594183839257198,0.2405816160742802,3) Low
314,29-2032,2.82854054054054,1.6133333333333302,2.5380000000000003,2.0208333333333304,4.71,2.85,0.16,3.0,3.12,2.75,2.88,3.0,3.12,0.8481581244847121,0.15184187551528794,3) Low
